Sales
product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_type_2
P0001,S0002,1/2/17,0,0,8,6.25,PR14,PR03
P0002,S0012,1/2/17,1,5.3,0,6.25,PR14,PR03
P0003,S0013,1/2/17,2,10.59,0,6.25,PR14,PR03
P0004,S0023,1/2/17,0,0,6,6.25,PR14,PR03
P0005,S0025,1/2/17,0,0,1,6.25,PR14,PR03
P0006,S0027,1/2/17,0,0,7,6.25,PR14,PR03
P0007,S0040,1/2/17,0,0,19,6.25,PR14,PR03
P0008,S0049,1/2/17,0,0,8,6.25,PR14,PR03
P0009,S0050,1/2/17,0,0,5,6.25,PR14,PR03
P0010,S0051,1/2/17,0,0,6,6.25,PR14,PR03
P0011,S0055,1/2/17,0,0,6,6.25,PR14,PR03
P0012,S0056,1/2/17,1,5.3,6,6.25,PR14,PR03
P0013,S0062,1/2/17,0,0,2,6.25,PR14,PR03
P0014,S0063,1/2/17,0,0,7,6.25,PR14,PR03
P0015,S0066,1/2/17,0,0,1,6.25,PR14,PR03
P0016,S0078,1/2/17,0,0,6,6.25,PR14,PR03
P0017,S0082,1/2/17,0,0,4,6.25,PR14,PR03
P0018,S0083,1/2/17,0,0,10,6.25,PR14,PR03
P0019,S0087,1/2/17,0,0,10,6.25,PR14,PR03
P0020,S0094,1/2/17,0,0,6,6.25,PR14,PR03
P0021,S0096,1/2/17,0,0,2,6.25,PR14,PR03
P0022,S0102,1/2/17,0,0,7,6.25,PR14,PR03
P0023,S0103,1/2/17,1,5.3,10,6.25,PR14,PR03
P0024,S0104,1/2/17,0,0,22,6.25,PR14,PR03
P0025,S0105,1/2/17,0,0,6,6.25,PR14,PR03
P0026,S0106,1/2/17,1,5.3,3,6.25,PR14,PR03
P0027,S0107,1/2/17,0,0,2,6.25,PR14,PR03
P0028,S0108,1/2/17,0,0,7,6.25,PR14,PR03
P0029,S0110,1/2/17,0,0,1,6.25,PR14,PR03
P0030,S0115,1/2/17,0,0,1,6.25,PR14,PR03
P0031,S0122,1/2/17,0,0,1,6.25,PR14,PR03
P0032,S0125,1/2/17,0,0,7,6.25,PR14,PR03
P0033,S0131,1/2/17,0,0,2,6.25,PR14,PR03
P0034,S0132,1/2/17,0,0,5,6.25,PR14,PR03
P0035,S0142,1/2/17,0,0,1,6.25,PR14,PR03
P0036,S0006,1/2/17,0,0,18,4.5,PR14,PR03
P0037,S0019,1/2/17,0,0,2,4.5,PR14,PR03
P0038,S0038,1/2/17,0,0,2,4.5,PR14,PR03
P0039,S0044,1/2/17,1,3.81,7,4.5,PR14,PR03
P0040,S0085,1/2/17,0,0,29,4.5,PR14,PR03
P0041,S0001,1/2/17,0,0,7,33.9,PR14,PR03
P0042,S0002,1/2/17,0,0,11,33.9,PR14,PR03
P0043,S0008,1/2/17,0,0,3,33.9,PR14,PR03
P0044,S0012,1/2/17,0,0,6,33.9,PR14,PR03
P0045,S0013,1/2/17,0,0,11,33.9,PR14,PR03
P0046,S0020,1/2/17,0,0,3,33.9,PR14,PR03
P0047,S0023,1/2/17,0,0,3,33.9,PR14,PR03
P0048,S0024,1/2/17,0,0,3,33.9,PR14,PR03
P0049,S0026,1/2/17,0,0,4,33.9,PR14,PR03
P0050,S0031,1/2/17,0,0,7,33.9,PR14,PR03
P0051,S0038,1/2/17,0,0,2,33.9,PR14,PR03
P0052,S0040,1/2/17,0,0,7,33.9,PR14,PR03
P0053,S0043,1/2/17,0,0,7,33.9,PR14,PR03
P0054,S0050,1/2/17,0,0,5,33.9,PR14,PR03
P0055,S0051,1/2/17,0,0,4,33.9,PR14,PR03
P0056,S0056,1/2/17,0,0,4,33.9,PR14,PR03
P0057,S0065,1/2/17,0,0,4,33.9,PR14,PR03
P0058,S0066,1/2/17,0,0,6,33.9,PR14,PR03
P0059,S0085,1/2/17,0,0,17,33.9,PR14,PR03
P0060,S0087,1/2/17,0,0,4,33.9,PR14,PR03
P0061,S0097,1/2/17,0,0,6,33.9,PR14,PR03
P0062,S0102,1/2/17,0,0,4,33.9,PR14,PR03
P0063,S0104,1/2/17,0,0,3,33.9,PR14,PR03
P0064,S0108,1/2/17,0,0,5,33.9,PR14,PR03
P0065,S0110,1/2/17,0,0,7,33.9,PR14,PR03
P0066,S0113,1/2/17,0,0,5,33.9,PR14,PR03
P0067,S0132,1/2/17,0,0,5,33.9,PR14,PR03
P0068,S0138,1/2/17,0,0,5,33.9,PR14,PR03
P0069,S0142,1/2/17,0,0,2,33.9,PR14,PR03
P0070,S0001,1/2/17,0,0,10,49.9,PR14,PR03
P0071,S0002,1/2/17,0,0,9,49.9,PR14,PR03
P0072,S0013,1/2/17,0,0,4,49.9,PR14,PR03
P0073,S0038,1/2/17,0,0,9,49.9,PR14,PR03
P0074,S0040,1/2/17,0,0,4,49.9,PR14,PR03
P0075,S0043,1/2/17,0,0,2,49.9,PR14,PR03
P0076,S0056,1/2/17,0,0,4,49.9,PR14,PR03
P0077,S0066,1/2/17,0,0,5,49.9,PR14,PR03
P0078,S0085,1/2/17,0,0,1,49.9,PR14,PR03
P0079,S0094,1/2/17,0,0,3,49.9,PR14,PR03
P0080,S0104,1/2/17,0,0,8,49.9,PR14,PR03
P0081,S0108,1/2/17,0,0,8,49.9,PR14,PR03
P0082,S0115,1/2/17,0,0,2,49.9,PR14,PR03
P0083,S0132,1/2/17,0,0,9,49.9,PR14,PR03
P0084,S0085,1/2/17,0,0,1,59.99,PR14,PR03
P0085,S0097,1/2/17,0,0,1,59.99,PR14,PR03
P0086,S0001,1/2/17,1,2.41,20,2.6,PR14,PR03
P0087,S0002,1/2/17,1,2.41,19,2.6,PR14,PR03
P0088,S0003,1/2/17,0,0,5,2.6,PR14,PR03
P0089,S0004,1/2/17,0,0,11,2.6,PR14,PR03
